epoch;0_out_hm_loss;0_out_hm_mean_absolute_error;0_out_hm_mean_squared_error;1_out_hm_loss;1_out_hm_mean_absolute_error;1_out_hm_mean_squared_error;2_out_hm_loss;2_out_hm_mean_absolute_error;2_out_hm_mean_squared_error;loss;val_0_out_hm_loss;val_0_out_hm_mean_absolute_error;val_0_out_hm_mean_squared_error;val_1_out_hm_loss;val_1_out_hm_mean_absolute_error;val_1_out_hm_mean_squared_error;val_2_out_hm_loss;val_2_out_hm_mean_absolute_error;val_2_out_hm_mean_squared_error;val_loss
0;0.04229416434218111;0.039372832625859784;0.04229416458447444;0.03916100716803486;0.036164209144341354;0.039161007047640355;0.042366983873693746;0.04012167651667064;0.04236698409798371;0.1238221552992308;0.0011755760915872484;0.005965950809382271;0.0011755760892819946;0.0010932533303275704;0.005528892071843885;0.001093253330097045;0.0013168521598903554;0.0069559794915194555;0.0013168521587377286;0.0035856815769641412
1;0.0010736311435805834;0.005020142082752301;0.0010736311448665383;0.0010812746579219206;0.005151870378932484;0.0010812746570969685;0.001070338089881669;0.005099126275996831;0.0010703380903426718;0.003225243891117277;0.0013721737300626713;0.008589273837791516;0.0013721737296016204;0.0013063809187796962;0.008229708962953917;0.0013063809162439169;0.0012896268573211562;0.008085494484789301;0.0012896268485611912;0.0039681814929083134
2;0.0007935272170175523;0.005767361890728826;0.0007935272181457958;0.0008719635018228665;0.006228272202174308;0.0008719635020169729;0.0008826215887270836;0.005946661291504997;0.0008826215904983045;0.0025481123039704677;0.0011547977475928936;0.008278171009946577;0.0011547977439044874;0.0008959917771159718;0.006204183605305925;0.0008959917788449121;0.0015299328494503505;0.007976049640317364;0.0015299328538303327;0.0035807223746202664
3;0.0004346742432338072;0.003999397358600875;0.0004346742431064249;0.0005058203671248292;0.004479385857583304;0.0005058203669974469;0.0005932063758442653;0.004549594505962952;0.0005932063757472122;0.0015337009859966637;0.0009513434159827631;0.007076926484224525;0.0009513434125248822;0.0008103232332828021;0.005277852881884221;0.0008103232335133275;0.0007830289159071549;0.004802235789449498;0.0007830289191345103;0.0025446955695527023
4;0.0003281864070484167;0.0032980854778984197;0.0003281864070908775;0.00037382392692142846;0.0036324665771246814;0.00037382392660600554;0.00046180427737936623;0.0037045097650153383;0.0004618042773854321;0.0011638146109488668;0.0005360408021612001;0.00410502175616082;0.0005360408022764627;0.0005914859177480166;0.00426344839524072;0.0005914859180938046;0.0005605117515268929;0.0038745309687265666;0.0005605117485876942;0.0016880384733955753
5;0.00027055154438773536;0.0030393814438528515;0.00027055154414510235;0.00030849161117110346;0.0032475066440946277;0.00030849161143193393;0.0003926470136036902;0.003268557041019695;0.00039264701384025743;0.000971690168710625;0.00035266650853318964;0.003097031174670204;0.0003526665088213464;0.00046969008687330357;0.00394701772775169;0.00046969009194486214;0.000473752012476325;0.0035059031301943383;0.00047375201311026984;0.001296108611167805
6;0.00023684527793233975;0.002633299945314811;0.00023684527767150925;0.00027809956685944954;0.0027811556189581473;0.0002780995666835406;0.0003488090039489918;0.002978750846520293;0.000348809003906531;0.0008637538493503966;0.00029308045035721455;0.0027370640800546595;0.00029308045038603026;0.0003796082943802386;0.0028658848426461516;0.0003796082929394549;0.00041365895695790725;0.0030359068318353134;0.00041365895557475487;0.0010863477046057434
7;0.00021571342164231096;0.0023634840738476284;0.00021571342169083755;0.0002478029334386492;0.002510263362787617;0.00024780293334462894;0.0003186114696896109;0.0027925110918113737;0.00031861147011421866;0.0007821278250465661;0.0002781235006935249;0.00258441211074812;0.00027812349956971363;0.0003087489497455962;0.002652677123683809;0.0003087489506100664;0.0003894991460970907;0.0030067436212655343;0.0003894991432731547;0.0009763715968531842
8;0.000202491919070003;0.002312563519729608;0.00020249191860596737;0.0002309091110618328;0.0024849786118399655;0.00023090911057656676;0.0002994266441498548;0.0028047706024284915;0.0002994266435917989;0.0007328276744272705;0.0003071056923248095;0.0025455365593701896;0.0003071056916908647;0.00027211902687316854;0.0025853688860920693;0.000272119026210408;0.00035710948303867464;0.003028694773553917;0.00035710948234709845;0.0009363342037350677
9;0.00019218225344590337;0.002301252372822988;0.0001921822534368046;0.0002171584549153254;0.0024641491941002824;0.00021715845504574063;0.00028441732449945907;0.0028293171852691976;0.0002844173241264108;0.0006937580328121612;0.00022106034529054223;0.0022395620855622657;0.00022106034497356984;0.00027915337800145113;0.002568986480317936;0.00027915337710816525;0.00033966504477683714;0.0029365845605509706;0.000339665041607113;0.0008398787680976462
10;0.00017849018665540807;0.0021955970173327794;0.00017849018648556495;0.00020196045417367824;0.0023588107910186592;0.00020196045403113132;0.00026478954695213487;0.0027256019575744184;0.0002647895469278716;0.0006452401879389327;0.00019741700512661349;0.0022936884240053667;0.00019741700368582982;0.00021680846886990574;0.0023404103127483387;0.00021680846927332517;0.0003022700903469254;0.0027234173176976123;0.0003022700895689022;0.0007164955635942371
11;0.0001602042144519027;0.0020566235194813495;0.00016020421440792547;0.0001813658812198215;0.0022128402536590137;0.00018136588130171014;0.00024138312184020081;0.0025750818910704565;0.00024138312153690954;0.0005829532174361022;0.0001845395150721202;0.002165206939000452;0.0001845395134584425;0.0002076103823722829;0.0022588924938204266;0.00020761038240109855;0.0002643258273682216;0.0026230710996591514;0.0002643258283191388;0.0006564757221903984
12;0.00014596724452175676;0.001935934853088227;0.00014596724461274414;0.00016581797297680404;0.0020870595293355585;0.0001658179729859028;0.0002214644871320544;0.0024433956811400212;0.00022146448717148227;0.0005332497047716456;0.00015776158685941195;0.001903919547584166;0.00015776158657125521;0.0001832864830491714;0.0020440162009661;0.00018328648342377517;0.00024663596549463263;0.002512547058412934;0.0002466359639674019;0.0005876840367719605
13;0.00013339620054375663;0.0018331472524973631;0.00013339620037997933;0.00015187830278740332;0.0019777227920191242;0.00015187830296331225;0.00020457793059808826;0.00232908199337459;0.00020457793087711622;0.0004898524341354863;0.00015191321914190297;0.0018291633647617579;0.00015191322013604372;0.00017404643375551015;0.0019550409935654538;0.00017404643352498476;0.00023181692029736788;0.0023772633533076484;0.00023181692090249703;0.000557776573021887
14;0.00012279371022343201;0.0017384828887493577;0.00012279371003842433;0.00014017736410315532;0.0018788263577891793;0.0001401773641183199;0.00018927569573418742;0.002222640394252966;0.00018927569602837996;0.0004522467704095597;0.00014570210764984517;0.00176438905372478;0.00014570210626669284;0.00016420222522050033;0.0019086892124136339;0.0001642022259985235;0.00021861322915140024;0.0021967779923377944;0.00021861322848863973;0.0005285175612293147
15;0.0001129524826865615;0.0016550989332890333;0.00011295248276693367;0.00012977859999854403;0.0017899255489168837;0.0001297785995375413;0.00017579900627255943;0.002128019146731868;0.00017579900637264555;0.0004185300889591814;0.00014060275912420862;0.0017039184944962363;0.00014060276040650608;0.0001582974387623259;0.0018431387053304675;0.00015829743781140866;0.00021263355698141427;0.0021726139761175556;0.00021263355689496723;0.0005115337561502463
16;0.00010520551951383052;0.0015793887057068722;0.0001052055195669065;0.00012107404024659177;0.0017083700545737384;0.00012107404026478925;0.00016390197456183698;0.0020394391480360835;0.00016390197455273822;0.0003901815340083528;0.00013555867102119315;0.0016377793228493469;0.00013555867107882451;0.00015281231165921206;0.0017776438284038316;0.00015281231003112648;0.00020180142413718754;0.002083927425002624;0.00020180142566441825;0.0004901724069328554
17;9.845110422924769e-05;0.0015084409219637534;9.845110428080721e-05;0.00011372332246818098;0.0016335812246868727;0.00011372332263650763;0.0001533684537625375;0.0019556858911958927;0.00015336845355933234;0.0003655428804963611;0.0001307440983041623;0.001553711377655958;0.00013074409867876605;0.00014850776901902024;0.0016710339678857144;0.00014850776999875313;0.00019700815523674914;0.002015053108565067;0.00019700815690805822;0.0004762600229633511
18;9.299166198375032e-05;0.0014438128390296262;9.299166194583891e-05;0.00010751108986877989;0.0015648242483896147;0.00010751108984148368;0.00014415141880861045;0.0018769525909490057;0.00014415141903152955;0.0003446541706414267;0.00012829132726194687;0.0014983888192212965;0.00012829132743484093;0.00014624146989253948;0.0016255009054934773;0.00014624146908570062;0.00019422711183243236;0.0019348736787860347;0.00019422711286979662;0.0004687599081080407
19;8.934716087055902e-05;0.001382424974610828;8.934716085842736e-05;0.0001032297045839042;0.0015005440471683004;0.00010322970461726624;0.0001372784910143286;0.0018058924809055152;0.00013727849096731843;0.00032985535675540207;0.00012693406527315606;0.0014322691472560757;0.0001269340654748658;0.00014488652559160945;0.0015551347347750966;0.0001448865255195703;0.0001918104125387358;0.00188076832322496;0.00019181041176071263;0.0004636310038645521
20;8.822500078403458e-05;0.001382589311433685;8.822500080678143e-05;0.00010194582530870098;0.0015007193409100178;0.00010194582527533894;0.00013528081831310613;0.0018045406921259304;0.00013528081815691114;0.00032545164466818866;0.00012808178494151884;0.0015086504434797877;0.00012808178497033452;0.00014602979787770604;0.0016359628127463677;0.0001460297988718468;0.00019394917339247901;0.001958228798011447;0.00019394917293142822;0.0004680607565863076
21;8.999126647718563e-05;0.0014361885052408033;8.999126655604136e-05;0.00010411145152054036;0.0015575246986936546;0.00010411145164034042;0.0001390227868488281;0.001867665380145151;0.00013902278684731166;0.0003331255051756251;0.00012896108908733205;0.001557974993149833;0.00012896108986535526;0.00014816244315220007;0.0016743058440192502;0.00014816244247503173;0.000195517792397566;0.002014961745128921;0.00019551779389598102;0.0004726413246082824
22;9.125307419865738e-05;0.0014813379253555445;9.125307416226243e-05;0.00010586508851694509;0.001606104361121832;0.00010586508859276792;0.00014206532298829846;0.0019232948071097396;0.00014206532286091615;0.0003391834856826706;0.0001297485788317056;0.0015945711182338176;0.00012974857842828618;0.0001490106617560435;0.0017264961795235918;0.00014901066077631058;0.00019762641407369572;0.0020308060684508765;0.00019762641329567251;0.0004763856540563157
23;9.306809437928412e-05;0.001522228310865681;9.306809439899804e-05;0.00010815889707107433;0.0016523369114532316;0.00010815889708320598;0.00014535812907870188;0.0019645548488990577;0.00014535812934711464;0.0003465851205093464;0.00013260334293014545;0.0016047112894991395;0.00013260334268521223;0.00015062970003530403;0.0017717212171173922;0.0001506297008133272;0.0002018525081601381;0.002083308721597463;0.00020185250775671867;0.0004850855502323017
24;9.489120720054822e-05;0.0015561378259561559;9.48912072354267e-05;0.00011037321213360878;0.001688980195560097;0.00011037321200167709;0.0001485346130774989;0.001992895661284716;0.00014853461301987355;0.00035379903258453193;0.0001348812673367689;0.0016784017442236885;0.00013488126693334947;0.00015370270560350325;0.0018353171081807796;0.00015370270498396625;0.000205967472756678;0.0021710293722514173;0.000205967472756678;0.0004945514449333348
25;9.760119354086139e-05;0.0015904042325240746;9.760119355147658e-05;0.00011334033251595478;0.0017260530112237873;0.00011334033246591172;0.00015244975060092248;0.0020210876150142903;0.0001524497507646998;0.00036339127661376143;0.00013947559073671127;0.0017977261037501221;0.00013947559112572288;0.00015501826083792446;0.001827243168718449;0.00015501825997345426;0.00020659565112996145;0.0021682075104943596;0.00020659565101469876;0.0005010895034538047
26;0.00010026334581295223;0.0016228598947223337;0.0001002633458417649;0.00011628657352341756;0.0017625736223091963;0.00011628657345820993;0.00015633485066933402;0.0020526033019320515;0.0001563348506420378;0.0003728847702119419;0.00014022055562092268;0.0016969557102345446;0.00014022055624045965;0.00015749425254416385;0.001955217496252222;0.00015749425208311306;0.000218110549780033;0.002222287995593235;0.000218110549693586;0.0005158253569653866
27;0.00010285679080178332;0.001654310936973752;0.00010285679063800604;0.00011915287593356421;0.0017961466491995702;0.00011915287610644023;0.00015973684043328853;0.0020822771677035776;0.0001597368403726303;0.0003817465072960184;0.00014071216998969916;0.0017600223009410028;0.00014071217011936969;0.00016007964126996254;0.0018233298997182657;0.000160079641759829;0.0002140573403708139;0.002201851981111092;0.0002140573427625148;0.000514849151673699
28;0.00010486358445573362;0.0016821774743816095;0.00010486358456946785;0.00012163622379315837;0.0018267045623462503;0.00012163622393722174;0.00016257144715855823;0.0021073127071731873;0.00016257144708273542;0.0003890712552800679;0.00014187868962313354;0.0017975666036940004;0.00014187868983925108;0.00017058677014106387;0.001899208243714996;0.00017058677172592592;0.0002136470451443871;0.002135907451502315;0.00021364704468333632;0.0005261125037847733
29;0.00010710651127531709;0.0017119910810728957;0.00010710651131019559;0.00012432407468081845;0.0018601170025254231;0.00012432407478848686;0.00016538901291172307;0.002132141618593819;0.0001653890131088624;0.0003968195989558131;0.0001434006243552275;0.001799761050260893;0.00014340062411029428;0.00016533972621701732;0.0019435809710809944;0.00016533972587122922;0.00022349193257666976;0.0022833272847024226;0.00022349193286482652;0.0005322322838981221
30;0.00010547214517905211;0.0016841236755968914;0.00010547214521847998;0.00012205195144201876;0.001827997325767389;0.00012205195128279084;0.00016235410193640452;0.0020960805821523655;0.0001623541018181209;0.0003898781988501515;0.00013802444866609456;0.0017231362415385423;0.00013802444857964754;0.00015604868614792566;0.0018445872231432708;0.0001560486854563495;0.00021092547815509767;0.0020777373588505652;0.00021092547973995972;0.0005049986145827956
31;9.973547738850753e-05;0.0016239350439383555;9.973547750830759e-05;0.00011560953504615744;0.001766395560447701;0.0001156095349642688;0.0001536475548047016;0.0020254192288459145;0.00015364755481380034;0.00036899256738342996;0.00013350190495090136;0.0016785773501666909;0.00013350190436018004;0.00015403849794875165;0.0018196952999523371;0.00015403849865473567;0.0002009014825516445;0.00202536676770611;0.0002009014828686169;0.0004884418856818229
32;9.393512350339906e-05;0.0015670176992979383;9.393512338814839e-05;0.00010948282592234417;0.0017048651245280965;0.00010948282596025557;0.00014523638075897172;0.0019586832028580343;0.00014523638044051587;0.0003486543300891782;0.00013254962782006675;0.0016224977747066923;0.0001325496280073686;0.00015042006485636741;0.0018034358903083324;0.00015042006459702636;0.00019689568221605946;0.0019907390110950806;0.00019689568181264003;0.000479865374417035
33;8.856286191245009e-05;0.0015122117332492231;8.85628619397463e-05;0.0001038560447647621;0.001648455465626105;0.00010385604479054186;0.0001372435411414859;0.0018936033136370115;0.00013724354111570614;0.0003296624480264526;0.00012880363827225485;0.0015801780675030728;0.0001288036389206075;0.00014822724007881513;0.0017363067859285835;0.00014822724038137972;0.00019525902398797397;0.0019964778281766735;0.00019525902393034263;0.0004722899032899612
34;8.423270782171776e-05;0.0014643443674545948;8.423270780352028e-05;9.925495448463843e-05;0.001596752206436597;9.925495433147635e-05;0.0001304899296363991;0.0018366301346505421;0.0001304899295044674;0.0003139775918972616;0.00012549398666349156;0.0015430012766253387;0.00012549398660586023;0.00014335371841766437;0.001705102536984083;0.00014335371870582113;0.00019216746714837516;0.001964887388576154;0.0001921674679840297;0.00046101517354064426
35;8.040511686314695e-05;0.0014170419528910354;8.040511686617987e-05;9.497241765739556e-05;0.0015464693530079904;9.497241770288926e-05;0.00012415234309357364;0.0017816592790609557;0.0001241523429768065;0.0002995298775898529;0.00012321186627694728;0.0014897992195893484;0.00012321186685326075;0.000141988239149646;0.0016154167834798445;0.00014198823812668957;0.00018670759134981228;0.0018888956018824979;0.00018670759244480788;0.00045190769648824884
36;7.698484190042412e-05;0.0013733692087734637;7.698484195956592e-05;9.135332073977123e-05;0.0014994962986445317;9.135332070034336e-05;0.00011857276070453589;0.0017289195495611813;0.00011857276062871308;0.00028691092332350086;0.00012203779950159334;0.0014731064932144218;0.00012203779914139742;0.00014017417542532657;0.0015963695399315641;0.00014017417646269083;0.0001856084096667329;0.001859840966696565;0.0001856084095802859;0.0004478203847377312
37;7.441704290461012e-05;0.0013325055333249592;7.441704300317978e-05;8.854036974073457e-05;0.0014562106730316258;8.854036968310923e-05;0.0001140635531749093;0.001677937108665012;0.0001140635531855245;0.00027702096572471726;0.00012067396036409173;0.00142322247732652;0.00012067396034968389;0.00013913046644993662;0.0015587636463270328;0.0001391304672279598;0.00018416342713367562;0.0018042780233012274;0.0001841634284591966;0.0004439678539909275
38;7.238250267290838e-05;0.0012927570154087982;7.238250268504004e-05;8.636350524823832e-05;0.0014149673538010376;8.636350528311682e-05;0.00011029917707057212;0.0016292724346153116;0.00011029917698261766;0.00026904518494925804;0.00011992106863382816;0.0014012383234843907;0.00011992106906606327;0.00013839426622749075;0.0015264856778915124;0.00013839426631393777;0.0001829370137334036;0.0017788707131132632;0.00018293701505892458;0.00044125234817689524
39;7.086039889772144e-05;0.0012506035948938931;7.086039894473159e-05;8.465851205315959e-05;0.0013725020850998111;8.465851198036968e-05;0.00010738993892215416;0.001583720989690891;0.00010738993890547314;0.0002629088496304022;0.00011937615427356859;0.001337917146070095;0.00011937615389896482;0.00013783986857137873;0.001467636011605437;0.00013783986880190412;0.00018237671938189996;0.001719297805229331;0.00018237671920900593;0.0004395927412038909
40;7.043428344545736e-05;0.0012519205397038817;7.043428348791813e-05;8.416998367153176e-05;0.0013740697756292016;8.416998377920017e-05;0.00010642190364725373;0.0015836224903425543;0.00010642190379738291;0.00026102617073694664;0.0001199352814462082;0.00140018679528949;0.00011993528091311823;0.00013829460057791895;0.00152893659939971;0.0001382946011830481;0.00018334515369151453;0.0017816394643563002;0.00018334515397967126;0.00044157503565801033
41;7.129101439935465e-05;0.001292400563266959;7.129101439935465e-05;8.51812529216264e-05;0.0014143207992872331;8.518125300503151e-05;0.00010837594567284764;0.0016267305940904791;0.00010837594571075904;0.0002648482130378059;0.00012041925381186722;0.0014442502304284584;0.00012041925392712992;0.000139324447254784;0.001575560239374195;0.0001393244463614981;0.00018423034493709998;0.0018056107463665528;0.00018423034456249623;0.0004439740468249979
42;7.20505366396927e-05;0.0013285801905021381;7.205053663059397e-05;8.614224798721834e-05;0.0014509493381003552;8.614224799176771e-05;0.00011027068461011202;0.0016722219349828476;0.00011027068458888164;0.0002684634691475521;0.00012108424586522863;0.0014531970007972109;0.00012108424530332299;0.00014025601503637498;0.0016083718328229566;0.0001402560145609164;0.00018530491423115393;0.0018521120218504773;0.00018530491437523228;0.00044664517442677355
43;7.285036723179288e-05;0.0013629786707379356;7.285036727425366e-05;8.711005481555045e-05;0.0014870730635375034;8.711005478370486e-05;0.00011205138735147154;0.001712792002570339;0.00011205138722560567;0.00027201180956410863;0.00012209579378244292;0.0015014400961578336;0.00012209579398415264;0.00014172031624544652;0.0016297501765449743;0.00014172031653360325;0.00018764816770343903;0.0019157849704053733;0.0001876481676458077;0.00045146427709738367
44;7.382446811679559e-05;0.0013948212601289094;7.38244681410589e-05;8.816853783649217e-05;0.0015193571681300392;8.816853783800863e-05;0.00011413448052601648;0.0017434733824881292;0.00011413448040621642;0.0002761274862700333;0.00012304205551171804;0.0015215693922289231;0.00012304205539645535;0.0001423390591568959;0.001663430002379683;0.00014233905971880153;0.0001890037707306703;0.0019097422344130602;0.00018900376920343958;0.00045438488521198233
45;7.500680000429043e-05;0.001421088133240798;7.500680002703726e-05;8.954278977191648e-05;0.0015483368972575321;8.954278982954182e-05;0.00011641329241253033;0.001766661152735868;0.00011641329215473275;0.00028096288228124106;0.00012515887258157115;0.0015271915007603937;0.00012515887288413574;0.0001429470418635433;0.0016669136541203992;0.00014294704086940257;0.00019108357849083657;0.0019516991951622734;0.00019108357912478137;0.0004591894934834488
46;7.66832511295557e-05;0.0014480495198785858;7.668325111742405e-05;9.157312542667206e-05;0.0015784963847399254;9.15731254494189e-05;0.00011924341073026638;0.0017907159222835746;0.00011924341082580313;0.0002874997874032613;0.00012575906932199522;0.0015762508957471587;0.0001257590689185758;0.00014542546446001764;0.0017330552691058947;0.00014542546362436313;0.00019380158703257837;0.00201767080435806;0.00019380158605284545;0.0004649861206849207
47;7.852820952070808e-05;0.0014739563129269667;7.852820944336881e-05;9.345477527710514e-05;0.0016046082469686731;9.345477526345703e-05;0.00012227269681561222;0.0018159701397585037;0.0001222726967746679;0.00029425568173777484;0.00012760160281668684;0.0016071866065872336;0.00012760160251412228;0.00014732478562244538;0.0017802091963165024;0.0001473247863428372;0.00019312513693083667;0.001980002973191809;0.00019312513698846803;0.0004680515252547062
48;8.072371026858701e-05;0.0014999360429890152;8.072371032924526e-05;9.556122703554218e-05;0.0016313533096266781;9.556122696275228e-05;0.00012523465474225366;0.0018453340735137013;0.00012523465451781812;0.0003015195922890159;0.00012898591282491638;0.0015992284222220135;0.00012898591242149694;0.00014803261453767613;0.0017114055900843723;0.00014803261345708836;0.00019432736470221108;0.001999126738490592;0.000194327363030902;0.0004713458925978935
49;8.263072815468516e-05;0.0015249171016651247;8.263072828055103e-05;9.762319946994387e-05;0.0016574198364584134;9.762319946236158e-05;0.0001282420921140972;0.0018697095034120308;0.00012824209215807442;0.0003084960199100858;0.00012813240465751877;0.0016466494631206636;0.0001281324060406711;0.00014796504309391695;0.0017699481264715738;0.00014796504293543075;0.00019741362530742725;0.0020248665585007406;0.00019741362424124733;0.00047351107385129403
50;8.235200818738908e-05;0.0015083941046370596;8.235200803422698e-05;9.745472610292226e-05;0.0016419363270762945;9.745472597705638e-05;0.0001276308625564843;0.0018537681459867726;0.0001276308625943957;0.0003074375968316311;0.0001268377744000276;0.0016312482942006374;0.0001268377746737765;0.0001463343336311455;0.001730915185497465;0.00014633433478377243;0.00019415588620104966;0.0019733316684602807;0.00019415588683499447;0.0004673279934830152
51;7.924786591428271e-05;0.001469385291519798;7.924786592944727e-05;9.422824120932188e-05;0.0016021933731477026;9.422824121387124e-05;0.00012246675625894368;0.0018079668144579384;0.00012246675608303475;0.0002959428630656089;0.00012396261014452315;0.0015552603167085218;0.00012396261018774666;0.0001444536950243268;0.001705465950348442;0.00014445369597524405;0.00019314517151785665;0.0019352088440301837;0.00019314517267048358;0.00046156147612480097
52;7.604995496337554e-05;0.0014308244547029867;7.604995501948442e-05;9.063817955861287e-05;0.0015614455619529155;9.063817947065841e-05;0.0001176105096021184;0.0017635628026921773;0.00011761050963548044;0.00028429864416505116;0.00012279584131314245;0.0015390733512819256;0.0001227958419182716;0.0001416164164784097;0.001704614325472624;0.00014161641663689592;0.00019011778159339055;0.0019166287698663108;0.00019011778176628458;0.00045453004030704424
53;7.280946868279781e-05;0.0013937273308019052;7.280946859787625e-05;8.742483267424242e-05;0.0015233643677143094;8.742483266969305e-05;0.00011289020338581573;0.001721602752151588;0.00011289020324933465;0.00027312450463822045;0.00012136835202639277;0.001484920864113339;0.00012136835178145955;0.00014019203288734218;0.001631107907926682;0.00014019203259918542;0.0001854594269280995;0.001852280066791221;0.00018545942615007631;0.0004470198125334106
